Times	Tissue-specific mutated genes	Subnetwork member genes	Tissue
10	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CACNA1S|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|IL2|PPIA|RYR2|NR1H4|APOA1|S100A1|MYH7|TRDN|FGF10|MTOR|AKAP6|HSPA1A|NOP10|PSMF1|TCAP|TTN|TGFB1|ACTN2|BCL2|GLMN|CAV3|SNRPB2	Skin
11	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CACNA1S|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|IL2|PPIA|RYR2|NR1H4|APOA1|S100A1|MYH7|TRDN|FGF10|MTOR|AKAP6|HSPA1A|NOP10|PSMF1|TCAP|TTN|TGFB1|ACTN2|BCL2|GLMN|CAV3|SNRPB2	Skin
12	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CACNA1S|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|IL2|PPIA|RYR2|NR1H4|APOA1|S100A1|MYH7|TRDN|FGF10|MTOR|AKAP6|HSPA1A|PSMF1|TCAP|TTN|TGFB1|ACTN2|BCL2|GLMN|CAV3|SNRPB2	Skin
13	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CACNA1S|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|IL2|PPIA|RYR2|NR1H4|APOA1|S100A1|MYH7|TRDN|FGF10|MTOR|AKAP6|HSPA1A|PSMF1|TCAP|TTN|TGFB1|ACTN2|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
14	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CACNA1S|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|IL2|PPIA|RYR2|NR1H4|APOA1|S100A1|MYH7|TRDN|FGF10|MTOR|AKAP6|HSPA1A|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
15	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|IL2|PPIA|RYR2|NR1H4|APOA1|S100A1|MYH7|TRDN|FGF10|MTOR|AKAP6|HSPA1A|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
16	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|IL2|PPIA|RYR2|NR1H4|APOA1|MDM2|S100A1|MYH7|TRDN|FGF10|MTOR|AKAP6|HSPA1A|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
17	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|IL2|PPIA|RYR2|NR1H4|APOA1|S100A1|MYH7|TRDN|FGF10|MTOR|AKAP6|HSPA1A|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
18	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|IL2|PPIA|RYR2|NR1H4|S100A1|MYH7|TRDN|FGF10|MTOR|AKAP6|HSPA1A|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
19	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|IL2|PPIA|RYR2|NR1H4|S100A1|MYH7|TRDN|FGF10|MTOR|AKAP6|HSPA1A|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
20	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ERLIN2|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CAPZA2|PIN1|SNCA|KLHL40|TGFBR1|HOMER3|PRKG1|MYOT|IL2|PPIA|RYR2|NR1H4|ITPR1|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|HSPA1A|PSMF1|TCAP|TTN|TGFB1|BCL2|GLMN|ITGB2|CAV3|SNRPB2	Skin
