Times	Tissue-specific mutated genes	Subnetwork member genes	Tissue
10	RAC1	TRIO|DOCK5|RAF1|PTEN|PARD6A|PAK6|CLTC|AP2M1|PAK1|EVL|MAP4K4|PAK3|MYH10|PIAS3|MYH9|TERT|DOCK4|ARHGEF6|RAC1|ELMO1|RAP1A|CDKN1A|FLNB|ELMO2|XIAP|CFTR|RHOA|NCF2|ABI1|ARHGEF7|LILRB1|MYL12B|ACTR3|ARAF|LIMA1|IQGAP3|WAS|RHOB|RAC3|TNF|RAP1GDS1|RAP1B|ARHGDIA|CDC42|RHO|IQGAP1|GNAI2|DOCK1|AGAP2|DOCK2	Skin
11	RAC1	TRIO|DOCK5|RAF1|PTEN|PARD6A|PAK6|CLTC|AP2M1|PAK1|EVL|MAP4K4|PAK3|MYH10|PIAS3|MYH9|TERT|DOCK4|ARHGEF6|RAC1|ELMO1|RAP1A|CDKN1A|FLNB|ELMO2|XIAP|CFTR|RHOA|NCF2|ABI1|ARHGEF7|LILRB1|MYL12B|ACTR3|ARAF|LIMA1|IQGAP3|WAS|RHOB|RAC3|TNF|RAP1GDS1|RAP1B|ARHGDIA|CDC42|RHO|IQGAP1|GNAI2|DOCK1|AGAP2|DOCK2	Skin
12	RAC1	TRIO|DOCK5|RAF1|PTEN|PARD6A|PAK6|CLTC|AP2M1|PAK1|EVL|MAP4K4|PAK3|MYH10|PIAS3|MYH9|TERT|DOCK4|ARHGEF6|RAC1|ELMO1|RAP1A|CDKN1A|FLNB|ELMO2|XIAP|CFTR|RHOA|NCF2|ABI1|ARHGEF7|LILRB1|MYL12B|ACTR3|ARAF|LIMA1|IQGAP3|WAS|RHOB|RAC3|TNF|RAP1GDS1|RAP1B|ARHGDIA|CDC42|RHO|IQGAP1|GNAI2|DOCK1|AGAP2|DOCK2	Skin
13	RAC1	TRIO|DOCK5|RAF1|PTEN|PARD6A|PAK6|CLTC|AP2M1|PAK1|EVL|MAP4K4|PAK3|MYH10|PIAS3|MYH9|TERT|DOCK4|ARHGEF6|RAC1|ELMO1|RAP1A|CDKN1A|FLNB|ELMO2|XIAP|CFTR|RHOA|NCF2|ABI1|ARHGEF7|LILRB1|MYL12B|ACTR3|ARAF|LIMA1|IQGAP3|WAS|RHOB|RAC3|TNF|RAP1GDS1|RAP1B|ARHGDIA|CDC42|RHO|IQGAP1|GNAI2|DOCK1|AGAP2|DOCK2	Skin
14	RAC1	TRIO|DOCK5|RAF1|PTEN|PARD6A|PAK6|CLTC|AP2M1|PAK1|EVL|MAP4K4|PAK3|MYH10|PIAS3|MYH9|TERT|DOCK4|ARHGEF6|RAC1|ELMO1|RAP1A|CDKN1A|FLNB|ELMO2|XIAP|CFTR|RHOA|NCF2|ABI1|ARHGEF7|LILRB1|MYL12B|ACTR3|ARAF|LIMA1|IQGAP3|WAS|RHOB|RAC3|TNF|RAP1GDS1|RAP1B|ARHGDIA|CDC42|RHO|IQGAP1|GNAI2|DOCK1|AGAP2|DOCK2	Skin
15	RAC1	TRIO|DOCK5|RAF1|PTEN|PARD6A|PAK6|CLTC|AP2M1|PAK1|EVL|MAP4K4|PAK3|MYH10|PIAS3|MYH9|TERT|DOCK4|ARHGEF6|RAC1|ELMO1|RAP1A|CDKN1A|FLNB|ELMO2|XIAP|CFTR|RHOA|NCF2|ABI1|ARHGEF7|LILRB1|MYL12B|ACTR3|ARAF|LIMA1|IQGAP3|WAS|RHOB|RAC3|TNF|RAP1GDS1|RAP1B|ARHGDIA|CDC42|RHO|IQGAP1|GNAI2|DOCK1|AGAP2|DOCK2	Skin
16	RAC1	TRIO|DOCK5|RAF1|PTEN|PARD6A|PAK6|CLTC|AP2M1|PAK1|EVL|MAP4K4|PAK3|MYH10|PIAS3|MYH9|TERT|DOCK4|ARHGEF6|RAC1|ELMO1|RAP1A|CDKN1A|FLNB|ELMO2|XIAP|CFTR|RHOA|NCF2|ABI1|ARHGEF7|LILRB1|MYL12B|ACTR3|ARAF|LIMA1|IQGAP3|WAS|RHOB|RAC3|TNF|RAP1GDS1|RAP1B|ARHGDIA|CDC42|RHO|IQGAP1|GNAI2|DOCK1|AGAP2|DOCK2	Skin
17	RAC1	TRIO|DOCK5|RAF1|PTEN|PARD6A|PAK6|CLTC|AP2M1|PAK1|EVL|MAP4K4|PAK3|MYH10|PIAS3|MYH9|TERT|DOCK4|ARHGEF6|RAC1|ELMO1|RAP1A|CDKN1A|FLNB|ELMO2|XIAP|CFTR|RHOA|NCF2|ABI1|ARHGEF7|LILRB1|MYL12B|ACTR3|ARAF|LIMA1|IQGAP3|WAS|RHOB|RAC3|TNF|RAP1GDS1|RAP1B|ARHGDIA|CDC42|RHO|IQGAP1|GNAI2|DOCK1|AGAP2|DOCK2	Skin
18	RAC1	TRIO|DOCK5|RAF1|PTEN|PARD6A|PAK6|CLTC|AP2M1|PAK1|EVL|MAP4K4|PAK3|MYH10|PIAS3|MYH9|TERT|DOCK4|ARHGEF6|RAC1|ELMO1|RAP1A|CDKN1A|FLNB|ELMO2|XIAP|CFTR|RHOA|NCF2|ABI1|ARHGEF7|LILRB1|MYL12B|ACTR3|ARAF|LIMA1|IQGAP3|WAS|RHOB|RAC3|TNF|RAP1GDS1|RAP1B|ARHGDIA|CDC42|RHO|IQGAP1|GNAI2|DOCK1|AGAP2|DOCK2	Skin
19	RAC1	TRIO|DOCK5|RAF1|PTEN|PARD6A|PAK6|CLTC|AP2M1|PAK1|EVL|MAP4K4|PAK3|MYH10|PIAS3|MYH9|TERT|DOCK4|ARHGEF6|RAC1|ELMO1|RAP1A|CDKN1A|FLNB|ELMO2|XIAP|CFTR|RHOA|NCF2|ABI1|ARHGEF7|LILRB1|MYL12B|ACTR3|ARAF|LIMA1|IQGAP3|WAS|RHOB|RAC3|TNF|RAP1GDS1|RAP1B|ARHGDIA|CDC42|RHO|IQGAP1|GNAI2|DOCK1|AGAP2|DOCK2	Skin
