Times	Tissue-specific mutated genes	Subnetwork member genes	Tissue
23	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
24	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
25	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
26	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
27	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
28	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
29	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
30	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
31	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
32	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
