Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
43	0.9757910145253912	0.0011810933800414	0.9988722817556248	0.6625399637733923	1.04673954723255	1.246696087779253e-05	56	apply	Skin	GNAQ
44	0.9754697873298076	-0.0003212271955836	1.0003230875450015	0.317937060131356	0.9944025698709223	1.3383664500919103e-05	57	apply	Skin	GNAQ
45	0.9757947393900276	0.0003249520602198	0.9996560789490112	0.9548955799185992	0.9446824413773764	1.434910250103628e-05	58	apply	Skin	GNAQ
46	0.9754001503920936	-0.0003945889979337	1.0004397754704817	0.1477069773833742	0.8974483193085074	1.5364892545618086e-05	59	apply	Skin	GNAQ
47	0.9751893024005156	-0.0002108479915781	1.000247337586006	0.7838664023187708	0.852575903343082	1.6432673351614377e-05	60	apply	Skin	GNAQ
48	0.9754001503920936	0.0002108479915781	0.9997397107199676	0.9074530405442512	0.8099471081759279	1.5364892545618086e-05	59	apply	Skin	GNAQ
49	0.974354847363056	-0.0010453030290377	1.0013594303887363	0.554402794705734	0.7694497527671315	1.6432673351614377e-05	60	apply	Skin	GNAQ
50	0.9736589527567452	-0.0006958946063108	1.0009524591153809	0.6404432463510379	0.7309772651287748	1.7554104440603706e-05	61	apply	Skin	GNAQ
51	0.974175648276598	0.0005166955198527	0.9992562180057454	0.4444344910466865	0.694428401872336	1.6432673351614377e-05	60	apply	Skin	GNAQ
52	0.9736856066634836	-0.0004900416131145	1.0007430930358	0.8188323309299554	0.6597069817787192	1.7554104440603706e-05	61	apply	Skin	GNAQ
53	0.9747496271041978	0.0010640204407142	0.9983036843270944	0.277311592394338	0.6267216326897832	1.6432673351614377e-05	60	apply	Skin	GNAQ
54	0.9737663299307135	-0.0009832971734842	1.001652894651836	0.8348928892718115	0.595385551055294	1.7554104440603706e-05	61	apply	Skin	GNAQ
