Times	Tissue-specific mutated genes	Subnetwork member genes	Tissue
11	GNAQ	GNAT1|MAP2K2|FYTTD1|HSPA1B|IFNG|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|RRAS2|LYN|HRG|RAC1|SNCA|PRKACB|CFTR|GNB2|PPP3R1|IL2|HSP90AA1|GNAQ|APOA1|HLA-A|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
12	GNAQ	GNAT1|MAP2K2|FYTTD1|HSPA1B|IFNG|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|RRAS2|LYN|HRG|RAC1|SNCA|PRKACB|CFTR|GNB2|PPP3R1|IL2|HSP90AA1|GNAQ|APOA1|HLA-A|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
13	GNAQ	GNAT1|MAP2K2|FYTTD1|HSPA1B|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|RRAS2|LYN|HRG|RAC1|SNCA|PRKACB|CFTR|GNB2|PPP3R1|IL2|HSP90AA1|GNAQ|APOA1|HLA-A|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
14	GNAQ	GNAT1|MAP2K2|FYTTD1|HSPA1B|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|HRG|RAC1|SNCA|PRKACB|CFTR|GNB2|PPP3R1|IL2|HSP90AA1|GNAQ|APOA1|HLA-A|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
15	GNAQ	GNAT1|MAP2K2|FYTTD1|HSPA1B|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|HRG|RAC1|SNCA|PRKACB|CFTR|GNB2|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|HLA-A|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
16	GNAQ	GNAT1|MAP2K2|FYTTD1|HSPA1B|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|HRG|RAC1|SNCA|PRKACB|CFTR|GNB2|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
17	GNAQ	GNAT1|MAP2K2|FYTTD1|HSPA1B|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|PRKACB|CFTR|GNB2|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
18	GNAQ	GNAT1|MAP2K2|FYTTD1|HSPA1B|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|PRKACB|CFTR|GNB2|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
19	GNAQ	GNAT1|MAP2K2|FYTTD1|HSPA1B|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|PRKACB|CFTR|GNB2|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
20	GNAQ	GNAT1|MAP2K2|FYTTD1|GNA11|HSPA1B|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|PRKACB|CFTR|GNB2|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
21	GNAQ	GNAT1|MAP2K2|FYTTD1|GNA11|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|PRKACB|CFTR|GNB2|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
22	GNAQ	GNAT1|MAP2K2|FYTTD1|IFNG|DAB2|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|PSMA8|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|GNAI1|PRKACB|CFTR|GNB2|PPP3R1|IL2|NR1H4|HSP90AA1|GNAQ|APOA1|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|TNF|KRAS|CYTH1|BRAF|IPCEF1|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ITGB2|GNB1|GNAT2	Skin
